Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
1-7KB5QF,Damage - Minor,Minor,16/06/11 1:10,,Villawood IDC,Service Provider Staff
1-7KHQQI,Transfer to APOD,Minor,16/06/11 7:15,,Villawood IDC,Service Provider Staff
1-7KI6RQ,Complaint Unresolved in time,Minor,16/06/11 9:16,,Darwin Airport Lodge,Service Provider Staff
1-7KJZWS,Abusive/Aggressive Behaviour,Minor,16/06/11 10:45,,Maribyrnong IDC,Service Provider Staff
1-7KMFAH,Transfer to APOD,Minor,16/06/11 10:55,,Scherger IDC,DIAC Staff
1-7KMFAU,Accident/Injury - Serious,Critical,16/06/11 11:00,,Curtin IDC,Service Provider Staff
1-7KKKOU,Emergency - medical - offsite,Major,16/06/11 11:10,,Northern IDC,Service Provider Staff
1-7KNMIY,Voluntary  Starvation - End of,Minor,16/06/11 11:30,,North West Point Immigration Facility,Service Provider Staff
1-7KMCKY,Self Harm - Threatened,Major,16/06/11 11:35,,North West Point Immigration Facility,Service Provider Staff
1-7KNMLW,Voluntary starvation (<24 hrs),Minor,16/06/11 11:55,,North West Point Immigration Facility,Service Provider Staff
1-7KO3U8,Voluntary starvation (<24 hrs),Minor,16/06/11 12:05,,North West Point Immigration Facility,Service Provider Staff
1-7KNMH5,Damage - Minor,Minor,16/06/11 12:17,,Curtin IDC,Service Provider Staff
1-7L0V28,Disturbance - Minor,Minor,16/06/11 12:33,,Inverbrackie APOD,Service Provider Staff
1-7KPOWQ,Media - Incident  of interest,Major,16/06/11 13:25,,Construction Camp APOD,Service Provider Staff
1-7KMFR8,Disturbance - Minor,Minor,16/06/11 13:45,,Villawood IDC,Subcontractor
1-7KR5T3,Voluntary starvation (<24 hrs),Minor,16/06/11 14:15,,North West Point Immigration Facility,Service Provider Staff
1-7KQZMO,Self Harm - Actual,Critical,16/06/11 15:25,,Northern IDC,Service Provider Staff
1-7KPOMK,Damage - Minor,Minor,16/06/11 15:40,,Melbourne ITA,Service Provider Staff
1-7KPOPH,Contraband found,Minor,16/06/11 16:00,,Melbourne ITA,Service Provider Staff
1-7L3XR0,Self Harm - Actual,Critical,16/06/11 16:30,,Curtin IDC,Service Provider Staff
1-7KSA9V,Self Harm - Threatened,Major,16/06/11 16:30,,Leonora APOD,Service Provider Staff
1-7KPGML,Transfer to APOD,Minor,16/06/11 16:35,,Villawood IDC,Service Provider Staff
1-7KR5Y6,Self Harm - Threatened,Major,16/06/11 17:15,,Villawood IDC,DIAC Staff
1-7L3Y17,Self Harm - Threatened,Major,16/06/11 18:00,,Curtin IDC,Service Provider Staff
1-7KSON2,Transfer to APOD,Minor,16/06/11 20:15,,Villawood IDC,Service Provider Staff
1-7KSVD0,Self Harm-Attpted Serious,Critical,16/06/11 20:30,,North West Point Immigration Facility,Service Provider Staff
1-7KT5LA,Self Harm - Actual,Critical,16/06/11 20:55,,North West Point Immigration Facility,Service Provider Staff
1-7LCQWI,Voluntary starvation (<24 hrs),Minor,16/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LCQPA,Voluntary starvation (<24 hrs),Minor,16/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7KYIY7,Disturbance - Minor,Minor,16/06/11 23:20,,North West Point Immigration Facility,Service Provider Staff
1-7L0PEX,Self Harm - Actual,Critical,17/06/11 1:10,,North West Point Immigration Facility,Service Provider Staff
1-7KZD54,Self Harm - Threatened,Major,17/06/11 5:15,,Northern IDC,Service Provider Staff
1-7L0P9K,Complaint Unresolved in time,Minor,17/06/11 6:55,,Villawood IDC,Service Provider Staff
1-7L0PAN,Complaint Unresolved in time,Minor,17/06/11 7:02,,Villawood IDC,Service Provider Staff
1-7L4XIZ,Complaint Unresolved in time,Minor,17/06/11 8:00,,Northern IDC,Service Provider Staff
1-7L4XHU,Complaint Unresolved in time,Minor,17/06/11 8:00,,Northern IDC,Service Provider Staff
1-7L1HON,Media - Incident  of interest,Major,17/06/11 8:00,,Maribyrnong IDC,Service Provider Staff
1-7MTU8N,Complaint Unresolved in time,Minor,17/06/11 8:55,,Leonora APOD,Service Provider Staff
1-7L4YNU,Self Harm - Threatened,Major,17/06/11 9:30,,North West Point Immigration Facility,Service Provider Staff
1-7L4Z9K,Property - Missing,Minor,17/06/11 11:00,,Villawood IDC,Service Provider Staff
1-7L4XAO,Property - Missing,Minor,17/06/11 11:07,,Villawood IDC,Service Provider Staff
1-7L4XA0,Media - Approach staff/clients,Minor,17/06/11 11:40,,Virginia Palms Motel,Service Provider Staff
1-7L66PM,Abusive/Aggressive Behaviour,Minor,17/06/11 11:40,,Curtin IDC,Service Provider Staff
1-7L9FWL,Self Harm - Threatened,Major,17/06/11 11:45,,North West Point Immigration Facility,Service Provider Staff
1-7L7S2Y,Self Harm - Threatened,Major,17/06/11 11:45,,North West Point Immigration Facility,Service Provider Staff
1-7L8WLI,Voluntary starvation (>24 hrs),Major,17/06/11 11:59,,North West Point Immigration Facility,Service Provider Staff
1-7L8X8W,Self Harm - Actual,Critical,17/06/11 12:00,,North West Point Immigration Facility,Service Provider Staff
1-7L4YNG,Contraband found,Minor,17/06/11 12:05,,Villawood IDC,Service Provider Staff
1-7L4YNA,Use of Force,Major,17/06/11 12:05,,Villawood IDC,Service Provider Staff
1-7L66SO,Abusive/Aggressive Behaviour,Minor,17/06/11 12:10,,Northern IDC,Service Provider Staff
1-7LAE63,Use of Force,Major,17/06/11 12:15,,North West Point Immigration Facility,Service Provider Staff
1-7L9GBB,Voluntary starvation (>24 hrs),Major,17/06/11 12:55,,North West Point Immigration Facility,Service Provider Staff
1-7L7RQO,Complaint Unresolved in time,Minor,17/06/11 13:13,,Darwin Airport Lodge,Service Provider Staff
1-7LBIW5,Self Harm - Threatened,Major,17/06/11 14:25,,North West Point Immigration Facility,Service Provider Staff
1-7LBIS9,Self Harm - Threatened,Major,17/06/11 14:25,,North West Point Immigration Facility,Service Provider Staff
1-7LBIS0,Self Harm - Threatened,Major,17/06/11 14:25,,North West Point Immigration Facility,Service Provider Staff
1-7LA4FH,Voluntary  Starvation - End of,Minor,17/06/11 14:47,,Perth IDC,Service Provider Staff
1-7LB7U8,Contraband found,Minor,17/06/11 15:00,,Villawood IDC,Service Provider Staff
1-7LBWNU,Self Harm - Actual,Critical,17/06/11 15:15,,Leonora APOD,Client
1-7LBIQG,Self Harm - Actual,Critical,17/06/11 16:30,,Northern IDC,Service Provider Staff
1-7LBJ91,Self Harm - Threatened,Major,17/06/11 17:50,,Villawood IDC,Service Provider Staff
1-7LCRSF,Demonstration - Offsite,Critical,17/06/11 18:30,,Perth IDC,Service Provider Staff
1-7LCRMK,Self Harm - Threatened,Major,17/06/11 18:40,,North West Point Immigration Facility,Service Provider Staff
1-7LCWDF,Transfer to APOD,Minor,17/06/11 18:45,,Darwin Airport Lodge,Service Provider Staff
1-7LCWCK,Self Harm - Actual,Critical,17/06/11 20:55,,North West Point Immigration Facility,Service Provider Staff
1-7LD7DL,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD7AM,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD7AG,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD78L,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD78F,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD74X,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD74H,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD74B,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LD73A,Voluntary starvation (<24 hrs),Minor,17/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7LCS5J,Self Harm-Attpted Serious,Critical,17/06/11 21:00,,North West Point Immigration Facility,Service Provider Staff
1-7LCRR3,Self Harm - Threatened,Major,17/06/11 21:55,,Northern IDC,Service Provider Staff
1-7LCS2D,Abusive/Aggressive Behaviour,Minor,17/06/11 22:55,,Melbourne ITA,Service Provider Staff
1-7LD7EH,Damage - Minor,Minor,17/06/11 23:15,,Northern IDC,Service Provider Staff
1-7LKRCC,Barricade/Sit-In,Major,18/06/11 6:00,,Darwin Airport Lodge,Service Provider Staff
1-7LKRW2,Complaint Unresolved in time,Minor,18/06/11 8:00,,Northern IDC,Service Provider Staff
1-7MHRU4,Damage - Minor,Minor,18/06/11 8:45,,Inverbrackie APOD,Service Provider Staff
1-7LL7QQ,Abusive/Aggressive Behaviour,Minor,18/06/11 10:45,,Villawood IDC,Service Provider Staff
1-7LL80W,Contraband found,Minor,18/06/11 10:50,,Maribyrnong IDC,Service Provider Staff
1-7LLRTO,Complaint Unresolved in time,Minor,18/06/11 11:39,,North West Point Immigration Facility,Service Provider Staff
1-7LLKD0,Emergency - medical - offsite,Major,18/06/11 11:40,,Port Augusta IRH,Client
1-7LLRTR,Complaint Unresolved in time,Minor,18/06/11 11:43,,North West Point Immigration Facility,Service Provider Staff
1-7LLRTU,Complaint Unresolved in time,Minor,18/06/11 11:47,,North West Point Immigration Facility,Service Provider Staff
1-7LLRWF,Complaint Unresolved in time,Minor,18/06/11 11:50,,North West Point Immigration Facility,Service Provider Staff
1-7LLRWI,Complaint Unresolved in time,Minor,18/06/11 11:52,,North West Point Immigration Facility,Service Provider Staff
1-7LLRWL,Complaint Unresolved in time,Minor,18/06/11 11:57,,North West Point Immigration Facility,Service Provider Staff
1-7LLRXS,Complaint Unresolved in time,Minor,18/06/11 11:59,,North West Point Immigration Facility,Service Provider Staff
1-7LLRXV,Complaint Unresolved in time,Minor,18/06/11 12:02,,North West Point Immigration Facility,Service Provider Staff
1-7LLRXY,Complaint Unresolved in time,Minor,18/06/11 12:05,,North West Point Immigration Facility,Service Provider Staff
1-7LLS09,Complaint Unresolved in time,Minor,18/06/11 12:07,,North West Point Immigration Facility,Service Provider Staff
1-7LLP6Y,Self Harm - Actual,Critical,18/06/11 13:00,,North West Point Immigration Facility,Service Provider Staff
1-7LM0SP,Emergency - medical - offsite,Major,18/06/11 13:05,,Port Augusta IRH,Service Provider Staff
1-7LLOSS,Visitor-Other refused,Minor,18/06/11 13:20,,Villawood IDC,Service Provider Staff
1-7LLOIS,Use of Observation Rm > 24 hrs,Major,18/06/11 13:26,,Villawood IDC,Service Provider Staff
1-7LLOXI,Abusive/Aggressive Behaviour,Minor,18/06/11 14:00,,Melbourne ITA,Service Provider Staff
1-7LLOT8,Abusive/Aggressive Behaviour,Minor,18/06/11 14:00,,Melbourne ITA,Service Provider Staff
1-7LLOQA,Disturbance - Minor,Minor,18/06/11 14:00,,Melbourne ITA,Service Provider Staff
1-7LMI24,Disturbance - Minor,Minor,18/06/11 15:55,,North West Point Immigration Facility,Service Provider Staff
1-7LNNFU,Self Harm - Threatened,Major,18/06/11 16:30,,North West Point Immigration Facility,Service Provider Staff
1-7LNNLA,Self Harm - Threatened,Major,18/06/11 17:45,,North West Point Immigration Facility,Service Provider Staff
1-7LMI9M,Damage - Minor,Minor,18/06/11 18:15,,Villawood IDC,Service Provider Staff
1-7LM0FF,Assault - Minor,Major,18/06/11 18:15,,Villawood IDC,Service Provider Staff
1-7LOUET,Contraband found,Minor,18/06/11 18:20,,Phosphate Hill APOD,Service Provider Staff
1-7LNNUE,Voluntary starvation (<24 hrs),Minor,18/06/11 18:30,,Darwin Airport Lodge,Service Provider Staff
1-7MDF9J,Assault - Serious,Critical,18/06/11 18:31,,Maribyrnong IDC,Service Provider Staff
1-7LOJFT,Voluntary starvation (<24 hrs),Minor,18/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7LOJFD,Voluntary starvation (<24 hrs),Minor,18/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7LOJF7,Voluntary starvation (<24 hrs),Minor,18/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7LOJF1,Voluntary starvation (<24 hrs),Minor,18/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7LOJEV,Voluntary starvation (<24 hrs),Minor,18/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7LOJE5,Voluntary starvation (<24 hrs),Minor,18/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7LOJ8J,Voluntary starvation (>24 hrs),Major,18/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7LOJ8P,Self Harm - Threatened,Major,18/06/11 22:20,,Curtin IDC,Service Provider Staff
1-7LNNQP,Emergency - medical - offsite,Major,18/06/11 22:30,,Melbourne ITA,Service Provider Staff
1-7LOTVC,Escape - Attempted,Major,19/06/11 0:35,,Northern IDC,Service Provider Staff
1-7LOU2B,Disturbance - Major,Major,19/06/11 1:30,,Northern IDC,Service Provider Staff
1-7LOTXY,Contraband found,Minor,19/06/11 1:45,,Villawood IDC,Service Provider Staff
1-7LVTH4,Transfer btwn facilities,Minor,19/06/11 4:55,,Northern IDC,Service Provider Staff
1-7MDFIV,Damage - Minor,Minor,19/06/11 5:55,,Maribyrnong IDC,Service Provider Staff
1-7LWGJY,Damage - Minor,Minor,19/06/11 7:20,,Sydney IRH,Service Provider Staff
1-7LXDWT,Abusive/Aggressive Behaviour,Minor,19/06/11 7:50,,Curtin IDC,Service Provider Staff
1-7LWFXR,Failure - IT Systems,Minor,19/06/11 8:05,,Villawood IDC,Service Provider Staff
1-7LXDQ5,Voluntary  Starvation - End of,Minor,19/06/11 9:29,,North West Point Immigration Facility,Service Provider Staff
1-7LXEC2,Complaint Unresolved in time,Minor,19/06/11 10:20,,North West Point Immigration Facility,Service Provider Staff
1-7LXEEJ,Complaint Unresolved in time,Minor,19/06/11 10:27,,North West Point Immigration Facility,Service Provider Staff
1-7LXLVO,Accident/Injury - Serious,Critical,19/06/11 10:35,,Curtin IDC,Service Provider Staff
1-7LXC4M,Self Harm - Threatened,Major,19/06/11 10:40,,North West Point Immigration Facility,Service Provider Staff
1-7LXLLQ,Self Harm - Threatened,Major,19/06/11 11:00,,North West Point Immigration Facility,Service Provider Staff
1-7LXL0A,Demonstration - Offsite,Critical,19/06/11 11:30,,Darwin Airport Lodge,Service Provider Staff
1-7LZOZ0,Media - Approach staff/clients,Minor,19/06/11 12:45,,Darwin Airport Lodge,Service Provider Staff
1-7LXXUK,Voluntary  Starvation - End of,Minor,19/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7LXKWY,Voluntary starvation (<24 hrs),Minor,19/06/11 13:20,,Darwin Airport Lodge,Client
1-7LXKOZ,Voluntary starvation (<24 hrs),Minor,19/06/11 13:22,,Darwin Airport Lodge,Client
1-7LXKY4,Self Harm - Threatened,Major,19/06/11 13:50,,Northern IDC,Service Provider Staff
1-7LXYCL,Emergency - medical - offsite,Major,19/06/11 15:00,,Leonora APOD,Service Provider Staff
1-7LY7O4,Self Harm - Actual,Critical,19/06/11 17:00,,North West Point Immigration Facility,Service Provider Staff
1-7LYF4Q,Self Harm - Threatened,Major,19/06/11 18:35,,North West Point Immigration Facility,Service Provider Staff
1-7LYF77,Voluntary starvation (>24 hrs),Major,19/06/11 19:10,,Darwin Airport Lodge,Service Provider Staff
1-7LYF5G,Voluntary starvation (>24 hrs),Major,19/06/11 19:10,,Darwin Airport Lodge,Service Provider Staff
1-7LYDAY,Voluntary starvation (>24 hrs),Major,19/06/11 20:00,,Northern IDC,Service Provider Staff
1-7LYEUS,Disturbance - Minor,Minor,19/06/11 20:25,,Darwin Airport Lodge,Service Provider Staff
1-7LZ9TZ,Voluntary starvation (<24 hrs),Minor,19/06/11 22:10,,Curtin IDC,Service Provider Staff
1-7LZ9RA,Voluntary starvation (<24 hrs),Minor,19/06/11 22:10,,Curtin IDC,Service Provider Staff
1-7LZ9NI,Voluntary starvation (<24 hrs),Minor,19/06/11 22:10,,Curtin IDC,Service Provider Staff
1-7LZ9NC,Voluntary starvation (<24 hrs),Minor,19/06/11 22:10,,Curtin IDC,Service Provider Staff
1-7LYFIC,Voluntary starvation (<24 hrs),Minor,19/06/11 22:10,,Curtin IDC,Service Provider Staff
1-7LYDR3,Voluntary starvation (>24 hrs),Major,19/06/11 22:10,,Curtin IDC,Service Provider Staff
1-7LYDXV,Use of Force,Major,19/06/11 23:05,,Northern IDC,Service Provider Staff
1-7LYDRM,Self Harm - Threatened,Major,19/06/11 23:05,,Northern IDC,Service Provider Staff
1-7LZA2C,Demonstration - Onsite,Major,19/06/11 23:30,,North West Point Immigration Facility,Service Provider Staff
1-7M4JJN,Self Harm - Actual,Critical,20/06/11 2:10,,Northern IDC,Service Provider Staff
1-7M60FO,Failure - Security System,Major,20/06/11 5:40,,Northern IDC,Service Provider Staff
1-7M60G8,Demonstration - Onsite,Major,20/06/11 6:00,,Northern IDC,Service Provider Staff
1-7M7MX3,Voluntary  Starvation - End of,Minor,20/06/11 7:13,,North West Point Immigration Facility,Service Provider Staff
1-7O7LL5,Complaint Unresolved in time,Minor,20/06/11 8:00,,Northern IDC,Service Provider Staff
1-7O7LKB,Complaint Unresolved in time,Minor,20/06/11 8:00,,Northern IDC,Service Provider Staff
1-7O7LIW,Complaint Unresolved in time,Minor,20/06/11 8:00,,Northern IDC,Service Provider Staff
1-7MHTY0,Complaint Unresolved in time,Minor,20/06/11 8:00,,Northern IDC,Service Provider Staff
1-7MPYSJ,Property - Missing Money,Minor,20/06/11 9:30,,Melbourne ITA,Service Provider Staff
1-7MPYQQ,Property - Missing Money,Minor,20/06/11 9:30,,Melbourne ITA,Service Provider Staff
1-7MPYNS,Property - Missing,Minor,20/06/11 9:30,,Melbourne ITA,Service Provider Staff
1-7MEW04,Assault - Not OBH,Minor,20/06/11 9:50,,North West Point Immigration Facility,Service Provider Staff
1-7MFRX0,Use of Force,Major,20/06/11 9:55,,North West Point Immigration Facility,Service Provider Staff
1-7MCDI2,Self Harm - Threatened,Major,20/06/11 10:29,,North West Point Immigration Facility,Service Provider Staff
1-7MENJ4,Disturbance - Minor,Minor,20/06/11 12:20,,North West Point Immigration Facility,Service Provider Staff
1-7MFS2U,Self Harm - Threatened,Major,20/06/11 12:25,,North West Point Immigration Facility,Service Provider Staff
1-7MENJ7,Self Harm - Actual,Critical,20/06/11 12:35,,North West Point Immigration Facility,Service Provider Staff
1-7MFR5A,Abusive/Aggressive Behaviour,Minor,20/06/11 12:40,,North West Point Immigration Facility,Service Provider Staff
1-7MPYTS,Property - Missing,Minor,20/06/11 13:00,,Melbourne ITA,Service Provider Staff
1-7MHS0L,Voluntary starvation (<24 hrs),Minor,20/06/11 13:00,,North West Point Immigration Facility,Service Provider Staff
1-7MFROO,Self Harm - Threatened,Major,20/06/11 13:20,,North West Point Immigration Facility,Service Provider Staff
1-7MHS6S,Use of Force,Major,20/06/11 14:20,,North West Point Immigration Facility,Service Provider Staff
1-7MHKOE,Self Harm - Actual,Critical,20/06/11 14:30,,North West Point Immigration Facility,Service Provider Staff
1-7MFRW0,Self Harm - Threatened,Major,20/06/11 15:45,,Villawood IDC,DIAC Staff
1-7MGSA6,Self Harm - Threatened,Major,20/06/11 15:50,,Villawood IDC,DIAC Staff
1-7MWIVX,Abusive/Aggressive Behaviour,Minor,20/06/11 16:00,,Maribyrnong IDC,Service Provider Staff
1-7MHS8M,Emergency - medical - offsite,Major,20/06/11 18:00,,Leonora APOD,Service Provider Staff
1-7MIDCW,Self Harm - Threatened,Major,20/06/11 19:45,,North West Point Immigration Facility,Service Provider Staff
1-7MIC3N,Assault - Minor,Major,20/06/11 21:10,,Curtin IDC,Service Provider Staff
1-7MIC0A,Voluntary starvation (<24 hrs),Minor,20/06/11 21:30,,Northern IDC,Service Provider Staff
1-7MIPX4,Voluntary starvation (<24 hrs),Minor,20/06/11 22:00,,Northern IDC,Service Provider Staff
1-7MIPUE,Voluntary starvation (<24 hrs),Minor,20/06/11 22:05,,Curtin IDC,Service Provider Staff
1-7MIPRG,Voluntary starvation (<24 hrs),Minor,20/06/11 22:05,,Curtin IDC,Service Provider Staff
1-7MICB0,Voluntary starvation (>24 hrs),Major,20/06/11 22:05,,Curtin IDC,Service Provider Staff
1-7MIC2C,Damage - Minor,Minor,20/06/11 22:20,,Inverbrackie APOD,Service Provider Staff
1-7MIC4Q,Disturbance - Minor,Minor,20/06/11 23:20,,Villawood IDC,Service Provider Staff
1-7MJM5M,Self Harm - Threatened,Major,20/06/11 23:20,,North West Point Immigration Facility,Service Provider Staff
1-7MOJGN,Self Harm - Threatened,Major,21/06/11 0:00,,North West Point Immigration Facility,Service Provider Staff
1-7MQ0RQ,Contraband found,Minor,21/06/11 4:30,,North West Point Immigration Facility,Service Provider Staff
1-7MQ0OA,Disturbance - Minor,Minor,21/06/11 4:30,,North West Point Immigration Facility,Service Provider Staff
1-7MQ12Z,Self Harm - Actual,Critical,21/06/11 8:05,,Darwin Airport Lodge,Service Provider Staff
1-7MRVIO,Complaint Unresolved in time,Minor,21/06/11 8:17,,North West Point Immigration Facility,Service Provider Staff
1-7MRVIR,Complaint Unresolved in time,Minor,21/06/11 8:23,,North West Point Immigration Facility,Service Provider Staff
1-7MVBC6,Abusive/Aggressive Behaviour,Minor,21/06/11 9:30,,Curtin IDC,Service Provider Staff
1-7MU0HS,Media - Incident  of interest,Major,21/06/11 9:40,,Construction Camp APOD,Service Provider Staff
1-7MQSZX,Voluntary starvation (>24 hrs),Major,21/06/11 9:46,,Northern IDC,Service Provider Staff
1-7MTUBA,Self Harm - Actual,Critical,21/06/11 9:50,,North West Point Immigration Facility,Service Provider Staff
1-7MWITY,Emergency - medical - offsite,Major,21/06/11 10:55,,Curtin IDC,Service Provider Staff
1-7MSRNJ,Damage - Minor,Minor,21/06/11 11:49,,Villawood IDC,Service Provider Staff
1-7MUYT3,Self Harm - Threatened,Major,21/06/11 11:50,,North West Point Immigration Facility,Service Provider Staff
1-7N8KM4,Abusive/Aggressive Behaviour,Minor,21/06/11 12:15,,Maribyrnong IDC,Service Provider Staff
1-7MUYKG,Self Harm - Threatened,Major,21/06/11 13:00,,Villawood IDC,Service Provider Staff
1-7MUYB0,Damage - Minor,Minor,21/06/11 13:25,,Villawood IDC,Service Provider Staff
1-7MUY7E,Self Harm - Actual,Critical,21/06/11 13:35,,Villawood IDC,Service Provider Staff
1-7MYW3I,Voluntary starvation (>24 hrs),Major,21/06/11 13:35,,North West Point Immigration Facility,Service Provider Staff
1-7MXU0W,Self Harm - Threatened,Major,21/06/11 13:40,,North West Point Immigration Facility,Service Provider Staff
1-7NR2M3,Voluntary  Starvation - End of,Minor,21/06/11 14:00,,Darwin Airport Lodge,Service Provider Staff
1-7NR2GC,Voluntary  Starvation - End of,Minor,21/06/11 14:00,,Darwin Airport Lodge,Service Provider Staff
1-7N023O,Disturbance - Minor,Minor,21/06/11 14:20,,North West Point Immigration Facility,Service Provider Staff
1-7N9LNB,Complaint - re Minor Incident,Minor,21/06/11 14:30,,Construction Camp APOD,Service Provider Staff
1-7N021E,Self Harm - Actual,Critical,21/06/11 15:40,,North West Point Immigration Facility,Service Provider Staff
1-7N020U,Self Harm - Threatened,Major,21/06/11 15:45,,North West Point Immigration Facility,Service Provider Staff
1-7N057U,Self Harm - Threatened,Major,21/06/11 16:24,,North West Point Immigration Facility,Service Provider Staff
1-7MYCWM,Use of Observation Rm > 24 hrs,Major,21/06/11 16:45,,Villawood IDC,Service Provider Staff
1-7N05DE,Voluntary starvation (<24 hrs),Minor,21/06/11 16:50,,North West Point Immigration Facility,Service Provider Staff
1-7N05FW,Voluntary starvation (<24 hrs),Minor,21/06/11 17:00,,North West Point Immigration Facility,Service Provider Staff
1-7N0587,Use of Force,Major,21/06/11 17:15,,Northern IDC,Service Provider Staff
1-7N0IVL,Disturbance - Minor,Minor,21/06/11 17:30,,North West Point Immigration Facility,Service Provider Staff
1-7N0IWC,Voluntary starvation (<24 hrs),Minor,21/06/11 17:50,,North West Point Immigration Facility,Service Provider Staff
1-7N8K42,Transfer to APOD,Minor,21/06/11 18:30,,Scherger IDC,Service Provider Staff
1-7NDFGA,Voluntary starvation (<24 hrs),Minor,21/06/11 20:05,,Phosphate Hill APOD,Service Provider Staff
1-7N6L5T,Voluntary starvation (<24 hrs),Minor,21/06/11 20:30,,Northern IDC,Service Provider Staff
1-7N6L1Z,Voluntary starvation (<24 hrs),Minor,21/06/11 20:30,,Northern IDC,Service Provider Staff
1-7N10FS,Contraband found,Minor,21/06/11 20:30,,North West Point Immigration Facility,Service Provider Staff
1-7N0J0C,Voluntary starvation (<24 hrs),Minor,21/06/11 20:30,,Northern IDC,Service Provider Staff
1-7OWKDW,Voluntary starvation (<24 hrs),Minor,21/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7N10KC,Voluntary starvation (<24 hrs),Minor,21/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7N10K6,Voluntary starvation (<24 hrs),Minor,21/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7N10H7,Voluntary starvation (<24 hrs),Minor,21/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7N0WRX,Voluntary starvation (<24 hrs),Minor,21/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7N0JX2,Emergency - medical - offsite,Major,21/06/11 21:45,,Port Augusta IRH,Service Provider Staff
1-7N0K22,Emergency - medical - offsite,Major,21/06/11 22:30,,Port Augusta IRH,Service Provider Staff
1-7N6L89,Self Harm - Actual,Critical,21/06/11 23:45,,North West Point Immigration Facility,Service Provider Staff
1-7N8K1U,Contraband found,Minor,22/06/11 3:30,,Perth IDC,Service Provider Staff
1-7N6ZFI,Contraband found,Minor,22/06/11 5:00,,Villawood IDC,Service Provider Staff
1-7N8K9Z,Emergency - medical - offsite,Major,22/06/11 7:15,,Leonora APOD,Service Provider Staff
1-7N9TZQ,Disturbance - Minor,Minor,22/06/11 8:10,,North West Point Immigration Facility,Service Provider Staff
1-7O91SD,Complaint Unresolved in time,Minor,22/06/11 8:21,,Perth IDC,Service Provider Staff
1-7N9U2S,Complaint Unresolved in time,Minor,22/06/11 8:30,,North West Point Immigration Facility,Service Provider Staff
1-7NCUEH,Assault - Serious,Critical,22/06/11 8:35,,North West Point Immigration Facility,Service Provider Staff
1-7NC5EI,Use of Force,Major,22/06/11 8:35,,North West Point Immigration Facility,Service Provider Staff
1-7N9U2V,Complaint Unresolved in time,Minor,22/06/11 8:37,,North West Point Immigration Facility,Service Provider Staff
1-7N9U70,Complaint Unresolved in time,Minor,22/06/11 8:39,,North West Point Immigration Facility,Service Provider Staff
1-7N8UYY,Media - Incident  of interest,Major,22/06/11 9:00,,Maribyrnong IDC,Service Provider Staff
1-7NB77O,Disturbance - Major,Major,22/06/11 10:00,,Northern IDC,Service Provider Staff
1-7NCUCK,Self Harm - Threatened,Major,22/06/11 10:30,,North West Point Immigration Facility,Service Provider Staff
1-7NCUKW,Self Harm - Actual,Critical,22/06/11 10:45,,North West Point Immigration Facility,Service Provider Staff
1-7NCULG,Self Harm - Actual,Critical,22/06/11 10:50,,North West Point Immigration Facility,Service Provider Staff
1-7NDEES,Complaint - re Minor Incident,Minor,22/06/11 11:00,,Northern IDC,Service Provider Staff
1-7NCUN5,Transfer to APOD,Minor,22/06/11 12:05,,Northern IDC,Service Provider Staff
1-7NFBRI,Use of Force,Major,22/06/11 12:30,,North West Point Immigration Facility,Service Provider Staff
1-7NEBYU,Self Harm - Actual,Critical,22/06/11 12:50,,North West Point Immigration Facility,Service Provider Staff
1-7NU2CU,Contraband found,Minor,22/06/11 13:30,,Lilac Aqua,Service Provider Staff
1-7NDES8,Self Harm - Threatened,Major,22/06/11 13:45,,Sydney IRH,Service Provider Staff
