id,type,severity,date,facility,description,location
1-4VNA03,Assault - Serious,Critical,26/10/10,Christmas Island,s.I47F(1)CSM Jaqualine Welk was informed on 29/10/2010 by 2 clients s. 47F(1) and s. 47F(1) s. 47F(1) with interpreter s. 47F(1) tha s. 47F(1) was alledgely raped by s. 47F(1) on s. 47F(1),Christmas Island Construction Camp B block room 10.,
1-4UUARR ,Accident/Injury - Serious,Critical,26/10/10,Gwalia Lodge,Child appeared to have put washing powder in his mouth,Leonora APOD Charliie One Office,
1-4UT9LU,Food poisoning,Minor,26/10/10,Melbourne ITA  ,"At Approximately 19.10 hours on the 26/10/2010  client s. 47F(1) pushed a bowl of yogurt onto floor, then proceeded and kicked the Bin in which resulted in foot being cut",Mita Main kitchen,
1-4UUAY4  ,Voluntary  Starvation - End of,Minor,26/10/10,North West Point Immigration Facility,Client s. 47F(1) has eaten three consectutive meals.,Visits compound,
1-4URD1C ,Complaint - re Minor Incident,Minor,26/10/10,Villawood IDC,Compliant not answered in 3 days. Client s. 47F(1) requested to see VIDC general manager,Blalxland Annex,
1-4V3BD3,Use of Observation Rm > 24 hrs,Major,26/10/10,Villawood IDC,Client s. 47F(1) was placed in the Murray Building after being invovled in a Major Incident 1-4UO94O Asslt - s. 47F(1) Client on Staff Clients placement was pre approved by all stakeholders,Murray Building Room 1,
1-4UYLNB,Contraband found,Minor,26/10/10,Brisbane ITA,Minor female client found with mobile phone while attending the  QPASST homework club,"QPASST Offices, Brisbane",
1-4UQ94O,Assault - Minor,Minor,26/10/10,Villawood IDC,Clien s. 47F(1) assaulted Operations Manager Michael Wood-Ryman by headbutting him.,Blaxland Annex,
1-4V7QTB,Use of Restraints,Minor,26/10/10,Perth IDC,Restraints applied to High Flight Risk Client,Belmont Uniradiology,
1-4UT93R,Voluntary  Starvation - End of,Minor,26/10/10,North West Point Immigration Facility,End of VHS - for clien s. 47F(1),NWP Medical,
1-4URCCZ ,Self Harm - Actual,Critical,26/10/10,North West Point Immigration Facility,Client s. 47F(1) self harmed following a NEgative RSA. Lacerations to Left & Right forearms and stomach,White 1,
1-4UOYTB ,Contraband found,Minor,26/10/10,Gwalia Lodge,Staff found a pair of metal scissors during a room search,Room 105 Leonora APOD,
1-4UNBP5  ,Contraband found,Minor,26/10/10,Villawood IDC,3 x lighters discovered on room searches in the Hughes compound refer IR1-4UIYDN,VIDC Hughes,
1-4US6RP  ,Assault - Serious,Critical,26/10/10,Northern IDC,Sexual assult,South 3,
1-4UIYD9,Escape - Attempted,Major,26/10/10,Villawood IDC,Code green attemted escape,hughes,
1-4UINLJ,Self Harm - Actual,Critical,25/10/10,Melbourne ITA  ,"Client has disclosed, self harm to left upper Arm to SERCO staff member Meagan Olive at approximately 23:40 hours",MITA main Lounge room,
1-4UI5TU,Accident/Injury - Serious,Critical,25/10/10,Villawood IDC,Client s. 47F(1) was taken to the hospital after collapsing in the pool room,BLAXLAND VILLAWOOD IDC,
1-4UIY1M,Assault - Minor,Major,25/10/10,Christmas Island,Client s. 47F(1) was inappropriately touched by an Indonesian client in Foxtrot Block. DIAC on call Officer was further updated on the situation at 2030hrs.,Foxtrot Block,
1-4UDHRH ,Accident/Injury - Serious,Critical,25/10/10,Villawood IDC,Client s. 47F(1) was taken to Banks House for assesment,Fowler Compound Villawood,
1-4UMBRD ,Transfer to APOD,Minor,25/10/10,Perth IDC,Client escorted to RPH for assessment and admitted.,PIDC Medical Centre - Royal Perth Hospital.,
1-4UHF4N  ,Accident/Injury - Serious,Critical,25/10/10,Perth IDC,Client Complaining of Chest Pains and transferred to Hospital via ambulance.,PIDC Medical Centre,
1-4UELQO ,Self Harm - Actual,Critical,25/10/10,North West Point Immigration Facility,Self Harm Actual by s. 47F(1) Lilac Compound. Superficial wounds to right arm caused by razor blade. Occured at approx. 1345 hrs DIAC notified at 1355 hrs.,Lilac Compound G Block room 10.,
1-4UHXF6,Self Harm - Threatened,Major,25/10/10,Villawood IDC,Client s. 47F(1) threatyened to hurt himself and officers during his interview with Mental Health Nurse,Blaxland VIDC,
1-4U9Q0J,Damage - Minor,Minor,25/10/10,Villawood IDC,Smoke detectors. Fire Extinguisher. and Assembly Point signage all requiring repairs. - Hughes compound,VIDC Hughes,
1-4W6UGP,Complaint - re Minor Incident,Minor,25/10/10,North West Point Immigration Facility,"Complaint number s. 47F(1) has been referred to Operations Manager Alexis Gibson, this was handed to CSM Kevin Barrett for investigation",NWP,
1-4U99M9,Self Harm - Actual,Critical,25/10/10,Christmas Island,Client s. 47F(1) attempted self harm by cutting both of his inner forearms with razor blades. He was located in Bravo block room 17 with the razors and escorted to medical.,Bravo Block Room 17,
1-4U99OR  ,Disturbance - Major,Major,24/10/10,Northern IDC,Major disturbance,South 2,
1-4U995L,Use of weaponry by a Client,Critical,24/10/10,Christmas Island,At approximately 2140hrs a Code Blue was called in the vicinity of the volleyball courts. Sparodic violence had began between Indonesian clients and other clients of mixed nationalities. The clients were in posssesion of metal fencing poles and chairs.,"Construction Camp Volleyball Court, CCA and Bravo Blocks.",
1-4U8317,Abusive/Aggressive Behaviour,Minor,24/10/10,Villawood IDC,Client s. 47F(1) was abusive to Blaxland staff during headcount,Blaxland Dorm 3,
1-4U836N,Self Harm - Threatened,Major,24/10/10,North West Point Immigration Facility,Attempted self harm by client s. 47F(1) - whilst on constant observations,NWP medical,
1-4U82Y5,Complaint - re Minor Incident,Minor,24/10/10,North West Point Immigration Facility,Complaint s. 47F(1) not completed within the 3 day timescale.,NWP White 2,
1-4U82VN,Complaint - re Minor Incident,Minor,24/10/10,North West Point Immigration Facility,Complaint s. 47F(1) - not completed within 3 day time scale,NWP,
1-4U82SV,Complaint - re Minor Incident,Minor,24/10/10,North West Point Immigration Facility,"Complaint s. 47F(1) dated 10/10/10, has not been resolved within the 3 day time scale.",White 2,
1-4U82UJ,Assault - Minor,Minor,24/10/10,Curtin IDC,"At approximatley 15.30 a alltercation broke out between 2 clients, one client recieved a cut to the head.","Curtin IDC , Recreation room near Admin",
1-4U9QBM ,Disturbance - Minor,Minor,24/10/10,Villawood IDC,Visitor s. 47F(1) was verbally abusive towards staff and client s. 47F(1) This IR is linked with 1-4UA0VW,Visits Area Main Centre,
1-4UA0VW ,Abusive/Aggressive Behaviour,Minor,24/10/10,Villawood IDC,9 Clients were verbally abusive towards visits staff. This IR is linked with IR 1-4U9QBM,Visits Main Centre,
1-4U6XR6,Accident/Injury - Serious,Critical,24/10/10,Gwalia Lodge,Child taken to Leonora Hospital after consultation with IHMS Triage,Charlie 1 Leonora APOD,
1-4U6XR3,Voluntary  Starvation - End of,Minor,24/10/10,Gwalia Lodge,Clients have been observed eating the last 3 meals,Charlie 1 office Leonora APOD,
1-4U6XTL,Assault - Minor,Major,24/10/10,North West Point Immigration Facility,Client allegedly assaults 2 clients and 2 officers,"White 1 Compound, NWP",
1-4U5EMC ,Failure - IT Systems,Minor,24/10/10,Villawood IDC,Fire Alarm acrivated in the Dorm 3 kitchen while clients were cooking.,Blaxland Villawood IDC,
1-4U5ERA  ,Abusive/Aggressive Behaviour,Minor,24/10/10,Villawood IDC,Client s. 47F(1) abused staff when issued with a pair of joggers. Client did not like the color and was issued with another pair for which client refused to sign. This happened around 1030hrs in front of reception.,Property Villawood.,
1-4U8AZL,Contraband brought by Visitor,Minor,24/10/10,Perth IDC,Xray machine indicated two handguns and knife contained in a backpack AFP notified. Inspection Revealed suspected weapons to be Childrens toys,PIDC Reception,
1-4UAAN1  ,Visitor-Other refused,Minor,24/10/10,Villawood IDC,five members of the hillsong church refused entry into the centre due to AFP expiry date,Gatehouse,
1-4U6XSR  ,Assault - Minor,Major,24/10/10,North West Point Immigration Facility,Client s. 47F(1) Allegedly assaulted 3 Serco Officers,"""C"" Block  White 2 Compound North West Point",
1-4U5ATZ,Accident/Injury - Serious,Critical,24/10/10,Gwalia Lodge,"Client presented to C! unwell , IHMS triage advised to take to hospital",Charlie 1 office Leonora APOD,
1-4U53Z1,Accident/Injury - Serious,Critical,24/10/10,Perth IRH,Client s. 47F(1) went into Labour transported by Ambulance to Princess Margaret Hospital,Perth Residential Housing,
1-4U53F4,Accident/Injury - Serious,Critical,24/10/10,Villawood IDC,At approximately 0200am on Sunday 24th October Clients. 47F(1) from the Fowler compound complained of chest pains.,Fowler Compound VIDC Room Clarence 05A,
1-4U3RZG  ,Abusive/Aggressive Behaviour,Minor,23/10/10,Maribyrnong IDC,"Clients smoking in dorm, throwing pool balls , disobeying lawful orders",Zone D,
1-4U3VFB,Self Harm - Actual,Critical,23/10/10,North West Point Immigration Facility,"s. 47F(1) SELF HARM ACTUAL, BY INGESTING 20 SLEEPING PILLS.",NWP GREEN 2,
1-4U3RXC  ,Accident/Injury - Serious,Critical,23/10/10,Curtin IDC,Client s. 47F(1) was suspected of suffering from dehydration and transported to Derby Regional Hospital. ,Derby Regional Hospital,
1-4U3RVK  ,Accident/Injury - Serious,Critical,23/10/10,Curtin IDC,Client s. 47F(1) was suspected of suffering from Dehydration and transported to Derby Hospital.,Derby Regional Hospital,
1-4U3RMH ,Accident/Injury - Serious,Critical,23/10/10,Curtin IDC,"Client s. 47F(1) taken to Derby Hospital, suffering suspected dehydration",Client located in Bravo compound room 59 at Curtin IDC,
1-4U2PTF,Assault - Minor,Minor,23/10/10,Brisbane ITA,"Two clients involved in a domestic dispute, one client sustained injury.",Virginia Palms Room 86,
1-4U3RL5,Voluntary starvation (>24 hrs),Major,23/10/10,North West Point Immigration Facility,Client s. 47F(1) remains on VHS now longer than 24 hour period. Please refer to incident report no. 1-4UOU8A.,Medical Observations,
1-4U2QDQ ,Voluntary starvation (>24 hrs),Major,23/10/10,North West Point Immigration Facility,Client s. 47F(1) mains on VHS now longer than 24 hour period. Please refer to incident report no. 1-4UOU8A.,"Medical, NWP",
1-4U2Q8F,Accident/Injury - Serious,Critical,23/10/10,Port Augusta IRH,Client s. 47F(1) complained of a sore back at 14.35 hours.Rang triage and they suggested a escort to hospital by ambulance. the doctor admitted her overnight,"Port Agusta Hospital, CASSARINA Rm7",
1-4U3RMZ ,Self Harm - Threatened,Major,23/10/10,North West Point Immigration Facility,"At appr ox 14:10 hours Client s. 47F(1) attempted to self harm, by means of ligature.","Medical, NWP IDS",
1-4U2PXO  ,Self Harm - Actual,Critical,23/10/10,Perth IDC,Superficial cuts to clients left wrist,Observation room,
1-4U2PYX,Disturbance - Minor,Minor,23/10/10,Northern IDC,Client throwing food container in mess.,"NIDC, South 2 Multi Function Room.",
1-4U0TTL,Disturbance - Minor,Minor,23/10/10,Villawood IDC,Intoxicated/Inebriated Client on arrival,Reception,
1-4W6UI0,Complaint - re Minor Incident,Minor,23/10/10,North West Point Immigration Facility,"Complaint number s. 47F(1) as been referred to Operations Manager Alexis Gibson, this was handed to A/CSM Douglas Kemp for investigation.",NWP,
1-4W6UHS ,Complaint - re Minor Incident,Minor,23/10/10,North West Point Immigration Facility,"Complaint number s. 47F(1) as been referred to Operations Manager Alexis Gibson, this was handed to A/CSM Douglas Kemp for investigation.",NWP,
1-4W6UFT ,Complaint - re Minor Incident,Minor,23/10/10,North West Point Immigration Facility,"Complaint number s. 47F(1) as been referred to Operations Manager Alexis Gibson, this was handed to CSM Kevin Barrett for investigation.",NWP,
1-4W6UDN,Complaint - re Minor Incident,Minor,23/10/10,North West Point Immigration Facility,"Complaint number s. 47F(1) as been referred to Operations Manager Alexis Gibson, this was handed to A/CSM Sarah Wisdon for investigation.",NWP,
1-4W6UDQ,Complaint - re Minor Incident,Minor,23/10/10,North West Point Immigration Facility,"Complaint number s. 47F(1) as been referred to Operations Manager Alexis Gibson, this was handed to CSM Kevin Barrett for investigation.",NWP,
1-4W4Z71,Complaint - re Minor Incident,Minor,23/10/10,North West Point Immigration Facility,"Complaint number s. 47F(1) as been referred to Operations Manager Alexis Gibson, this was handed to A/CSM Sarah Wisdon for investigation.",NWP,
1-4U0UGE ,Voluntary starvation (>24 hrs),Major,21/10/10,Northern IDC,Client hasnt eaten for two days.,North 1,
1-4U0U60,Voluntary starvation (>24 hrs),Major,21/10/10,Northern IDC,Client has claimed he is on a volunatary hunger strike.,South 2,
1-4TNTUO ,Accident/Injury - Serious,Critical,21/10/10,Villawood IDC,Client s. 47F(1) transported to Fairfield Hospital for a medical escort.,Hughes compound VIDC,
1-4TGTF5,Abusive/Aggressive Behaviour,Minor,21/10/10,Port Augusta IRH,s. 47F(1) left office ajitated. s. 47F(1) was very ajitated after pushing an officer then walked down compound.,Port Augusta Residential Immigration Housing,
1-4THVLB,Abusive/Aggressive Behaviour,Minor,21/10/10,Gwalia Lodge,Client became abusive & made threatening gestures towards Office rbecause he could not get cigarettes from canteen .,Canteen / Shop Leonora APOD,
1-4THV4N,Accident/Injury - Serious,Critical,21/10/10,Villawood IDC,Client s. 47F(1) escorted by Ambulance to Hospital. Request by IHMS Staff,Villawood IDC - Hughes Medical Centre,
1-4TMS3R,Self Harm - Threatened,Major,21/10/10,Villawood IDC,Client s. 47F(1) attempted to harm himself after receiving negative news from DIAC.,DIAC interview rooms visits area,
1-4TG39H,Disturbance - Minor,Minor,21/10/10,Northern IDC,Altercation between clients.,South 3,
1-4TGTCQ,Voluntary starvation (<24 hrs),Minor,21/10/10,Gwalia Lodge,Serco & DiAC informed by IHMS MHT of Hunger Strike,IHMS Leonora APOD,
1-4THUYT  ,Self Harm - Actual,Critical,21/10/10,North West Point Immigration Facility,,Green 2,
1-4TIF1C,Self Harm - Threatened,Major,21/10/10,North West Point Immigration Facility,Clients s. 47F(1) threatened self harm during a negative RSA interview,Interview 2 - NWP,
1-4TJ5XY,Complaint - re Minor Incident,Minor,21/10/10,Northern IDC,Three sealed complaints received addressed to third party,Northern IDc,
1-4TEDBH  ,Disturbance - Minor,Minor,21/10/10,North West Point Immigration Facility,code blue called at Aqua compound client s. 47F(1) involved.,common area opposite I block.,
1-4TCPJ0,Disturbance - Minor,Minor,20/10/10,North West Point Immigration Facility,Client s. 47F(1) refusing to return to the AQUA Compound.,In front of interviews 2.,
1-4TFGQD ,Self Harm - Threatened,Major,20/10/10,Perth IDC,Client reported to have made threats of self harm.,"Perth IDC, Property Office",
1-4TCGK7  ,Accident/Injury - Serious,Critical,20/10/10,Perth IDC,Client slipped and fell in exercise yard.,Area One Active Recreation Yard,
1-4T9JWJ,Use of Force,Major,20/10/10,Melbourne ITA ,Shift Coordinator A. Maxwell used minimal force to pull down client s. 47F(1) from sitting on the edge of the balcony,MITA Accommodation block,
1-4T9JWG  ,Accident/Injury - Serious,Critical,20/10/10,Melbourne ITA,"Client s. 47F(1) self harmed by cutting his upper left arm, when approached by IHMS and Serco the client was on the edge of balcony and told Serco that he wanted to kill himself. client was then transported top hospital via Ambulance.",MITA Accommodation block,
1-4TB1OC  ,Complaint - re Minor Incident,Minor,20/10/10,North West Point Immigration Facility,Complaint s. 47F(1) received was not resolved within the three day time frame,NWP,
1-4TB1MM ,Complaint - re Minor Incident,Minor,20/10/10,North West Point Immigration Facility,"Complaint s. 47F(1)recieved, not resolved within the three day time frame",NWP,
1-4T74AT,Assault - Minor,Major,20/10/10,Villawood IDC,Client s. 47F(1) allegedly assaullted CSO Allan BURNS by throwing his full bottle of water which did hit his left forearm.,Blaxland Airlock and Blaxland office hallway.,
1-4T8XLL,Failure - IT Systems,Minor,20/10/10,North West Point Immigration Facility,Fire Alarm Activation in Kitchen area.,NWP,
1-4T6PS5,Self Harm - Threatened,Major,20/10/10,Northern IDC,Client on PSP climbed a light pole in the compound and begun to bang his head into the pole. No apparent injury was sustained. ,"NIDC, North 1",
1-4T5DR7,Use of Force,Major,19/10/10,Northern IDC,A Client became resistant to moving from North 1 to North 3. The Client was being relocated as a result of threats to self harm. (See Incident Number 1-4T5DLX). Minor use of force was used to relocate the Client.,"NIDC, North 3",
1-4T5DLX,Self Harm - Threatened,Major,19/10/10,Northern IDC,Client on PSP locked himself in room and threatend to cut himself with a razor.,NIDC North 1.,
1-4T5DHF,Accident/Injury - Serious,Critical,19/10/10,North West Point Immigration Facility,DIAC Duty Manager was informed by Operations Manager Alexis Gibson. Client s. 47F(1) was transported to the CI hospital for medical treatment,Green 1 compound,
1-4T6WC7  ,Visitor-Other refused,Minor,19/10/10,Villawood IDC,Visitor s. 47F(1) was refused entry into the centre to visit client s. 47F(1) as he had a bottle of vodka down the front of his pants.,Blaxland Centre Control,
1-4T4JHY,Contraband brought by Visitor,Minor,19/10/10,Villawood IDC,Visitor bringing in a bottle of Vodka to the center.,"Villawood IDC, Center control at Blaxland.",
1-4T4J8J,Accident/Injury - Serious,Critical,19/10/10,Christmas Island,Client s. 47F(1) suffered siezure/fit.,"Room A02, Phosphate Hill. Christmas Island",
1-4T31E1,Media - Unauthorised presence,Critical,19/10/10,Perth IDC,"Female person taking photographs at the entrance to the centre, unkown if media associated",Entrance to PIDC,
1-4SYTJ9,Failure - IT Systems,Minor,19/10/10,Northern IDC,Power outage to centre and surrounding area.,NIDC - all areas.,
1-4SYTDP  ,Accident/Injury - Serious,Critical,19/10/10,Gwalia Lodge,Client taken to Leonora Hospital,IHMS Leonora APOD,
1-4T08Q1,Contraband found,Minor,19/10/10,North West Point Immigration Facility,Client s. 47F(1) found in possession of sleeping and various tablets,"Blue 1 Compound Accomodation Block ""C"" room 5 North West Point",
1-4SSGI9,Accident/Injury - Serious,Critical,18/10/10,Port Augusta IRH,"Emergency medical off site involving UAM found unconcious in his room, on site",House 2 (aka QLD) Port Augusta IRH.,
1-4SSGFH ,Damage - Minor,Minor,18/10/10,Northern IDC,Broken glass window Room 19 at the asti motel,Asti motel,
1-4SRVSQ ,Media - Incident  of interest,Major,18/10/10,Maribyrnong IDC,Media presence community tv,Bottom of MIDC drive way,
1-4SS5XE,Complaint - re Minor Incident,Minor,18/10/10,Perth IDC,Client complaint received regarding missing In Trust Property.  Complaint not resolved within 3 days,Transfer of client from CI to PIDC,
1-4SR7M5 , Self Harm - Actual,Critical,18/10/10,Villawood IDC,Client s. 47F(1) has superficial cuts on his left forearm with a razor blade. Link with IR 1-4SQK5A(threatened),ANNEX BLAXLAND.,
1-4SQK5A  ,Self Harm - Threatened,Major,18/10/10,Villawood IDC,Client s. 47F(1) threatened self harm. Client later self harmed refer IR 1-4SR7M5,BLAXLAND VILLAWOOD IDC,
1-4SPZHN  ,Assault - Minor,Major,18/10/10,North West Point Immigration Facility,Client is to have been assaulted in the canteen line,Canteen NWP,
1-4SKUR7 ,Voluntary  Starvation - End of,Minor,17/10/10,North West Point Immigration Facility,Client has resumed eating.,IHMS Medical Observation Room.,
1-4SKRJB,Voluntary  Starvation - End of,Minor,17/10/10,North West Point Immigration Facility,Client has resumed eating.,Lilac compound.,
1-4SKAYH  ,Abusive/Aggressive Behaviour,Minor,17/10/10,Villawood IDC,Client s. 47F(1) was abusive agressive towards client s. 47F(1),Hughes compound Villawood IDC,
1-4SKG6I,Self Harm - Threatened,Major,17/10/10,North West Point Immigration Facility,Client threatened self harm.,NWP IHMS Medical Observation Room.,
1-4SIJ6X,Failure - IT Systems,Minor,17/10/10,Villawood IDC,Westbridge switchboard out of order,Villawood IDC,
1-4SHY4B,Accident/Injury - Serious,Critical,16/10/10,Gwalia Lodge,"Mother brought child to Charlie 1 office with a high temperature, escort to Leonora Hospital",Leonora APOD - Charlie 1 office,
1-4SHXQ5  ,Assault - Not OBH,Minor,16/10/10,Northern IDC,Clients (Indonesian UAMs) involved in altercation while on activities escort.,"Planet Ten Pin, Nightcliff, Darwin.",
1-4SHN34,Accident/Injury - Serious,Critical,16/10/10,Brisbane ITA,Client escorted to RBH on advise from Triage,Virginia Palms  APOD room 92,
1-4SHN7C  ,Voluntary starvation (>24 hrs),Major,16/10/10,North West Point Immigration Facility,Client s. 47F(1) exceeds 24hrs Voluntary Starvation,NWP Medical Centre,
1-4SHNEN ,Use of Force,Major,16/10/10,Christmas Island,Serco officers assisted a client from further self harm.,"Construction Camp, D Block, Room 13.",
1-4SHNA1  ,Self Harm - Actual,Critical,16/10/10,Christmas Island,,"Construction Camp, D Block, Room 13.",
1-4SGW21 ,Self Harm - Actual,Critical,16/10/10,North West Point Immigration Facility,Client s. 47F(1) tried to self himself by placing a noose around his neck.,Lilac compound Block E halfway between the to demountables.,
1-4SGUHP ,Voluntary starvation (>24 hrs),Major,16/10/10,North West Point Immigration Facility,Client s. 47F(1) remains on VHS for over 24 hours,Medical Centre NWP,
1-4SFSDH  ,Accident/Injury - Serious,Critical,15/10/10,Gwalia Lodge,"Client s. 47F(1) accompanied by her father was escorted to Leonora Hospital, as per direction received from triage On Call Leanne LANCASTER.",Leonora APOD,
1-4SF9U0,Accident/Injury - Serious,Critical,15/10/10,Brisbane ITA,Client s. 47F(1) presented to reception stating she had some bleeding  s. 47F(1)is s. 47F(1) pregnant,BITA,
1-4SGUUA ,Voluntary starvation (<24 hrs),Minor,15/10/10,Christmas Island,Client s. 47F(1) has refused food and fluids untill he recieves his Visa or transfer,Construction Camp,
1-4SDZCZ  ,Abusive/Aggressive Behaviour,Minor,15/10/10,Villawood IDC,Client s. 47F(1) was abusive and aggressive to the medical staff during medication time.,Blaxland Villawood IDC,
1-4SD6WL ,Use of Observation Rm > 24 hrs,Major,15/10/10,Villawood IDC,Client s. 47F(1) was placed in an observation roo when he arrived in Blaxland as he requested.,Blaxland. vILLAWOOD idc.,
1-4SF9N9,Disturbance - Minor,Minor,15/10/10,North West Point Immigration Facility,Minor disturbance involing Client s. 47F(1),Lilac Compound behind the kitchen,
1-4SD6ZZ,Visitor-Other refused,Minor,15/10/10,Villawood IDC,Client s. 47F(1) visit was cancelled at 1615hrs after Client and visitor entered the female toilet.,Visits Centre of VIDC,
1-4SD6T3,Visitor-Other refused,Minor,15/10/10,Villawood IDC,Visitor arrived at the Centre to visit Client s. 47F(1) without no NSW ID,Gatehouse desk,
1-4SD6UQ ,Damage - Minor,Minor,15/10/10,Villawood IDC,"Client: s. 47F(1) damaged Computer in the Internet Cafe, Blaxland Area.",BLAXLAND VILAWWOD IDC,
1-4SPCAI,Self Harm - Actual,Critical,15/10/10,Melbourne ITA,Client s. 47F(1) appeared to have self harmed but refused to let Serco officers treat or view the wound.,MITA,
1-4SD6XA,Voluntary starvation (<24 hrs),Minor,15/10/10,North West Point Immigration Facility,At 1135hrs on 15/10/10 Serco staff were advised that Client s. 47F(1) has had nothing to eat or drink for four days. DIAC informed at 1330 hrs 15/10/10,"Lilac Compound, Lodge E, room 3.",
1-4SBOMJ ,Self Harm - Threatened,Major,15/10/10,North West Point Immigration Facility,Client s. 47F(1) Threatened Self Harm,Interview room Gold 2 compound North West Point,
1-4SBOK1  ,Media - Approach staff/clients,Minor,15/10/10,Northern IDC,Film crew were filming clients outside Darwin Court House,Darwin Court House,
1-4SA8KD,Self Harm - Actual,Critical,15/10/10,North West Point Immigration Facility,Client s. 47F(1) self harmed by cutting below his chin and left arm,Green 1 A Block Room 6,
1-4SDZHR ,Voluntary starvation (<24 hrs),Minor,15/10/10,North West Point Immigration Facility,Client s. 47F(1) declared he is on VHS. Client on Constant PSP Observation,Medical Obs NWP,
1-4SFRXP  ,Disturbance - Minor,Minor,15/10/10,North West Point Immigration Facility,Refer to IR No. 1-4SBPO4,Marquee compound,
1-4SBP04,Assault - Minor,Major,15/10/10,North West Point Immigration Facility,Two clients s. 47F(1) altercation over the phones,Marquee,
1-4S8OYZ,Substance abuse,Minor,15/10/10,Christmas Island,A number of Clients appeared intoxicated.,"H Block, Construction Camp",
1-4S8OVN  ,Abusive/Aggressive Behaviour,Minor,14/10/10,Northern IDC,Client s. 47F(1) male and his wife Client s. 47F(1) were aggressive and abusive towards CSO ELLEN TAIT.,ASTI Motel - Food court area.,
1-4S8OIU,Self Harm - Threatened,Major,14/10/10,North West Point Immigration Facility,Client s. 47F(1) threatened self harm,Green 1 compound,
1-4S85WV  ,Contraband found,Minor,14/10/10,Port Augusta IRH,Targeted house search conducted in house 2 (QLD) due to self harm incident and numerous items located.,"Port Augusta Immigration Residential Housing, House-2 (QLD)",
1-4S8OGY ,Assault - Minor,Minor,14/10/10,Northern IDC,Client s. 47F(1) male UAM s. 47F(1) allegedly assaulted Client s. 47F(1) male UAM 17yrs both of the Darwin Airport Lodge on 14/10/10 at approximately 6.15pm.,Darwin Airport Lodge Soccer field.,
1-4S7BK3,Abusive/Aggressive Behaviour,Minor,14/10/10,Villawood IDC,"On the 14.10.10 at 1750 Hrs in Blaxland, client s. 47F(1) was Aggressive/Abusive towards Medical staff. Operations Manager Chris Jackson",Blaxland VIDC,
1-4S6SN1,Accident/Injury - Serious,Critical,14/10/10,Melbourne ITA,client has been taken to norther hosptial for self harm incident,client was taken to norther hospital,
1-4S5YIX,Self Harm - Actual,Critical,14/10/10,Melbourne ITA,client self harmed whilst in toilet,Mita upstairs north toliet,
1-4SA8I8,Failure - IT Systems,Minor,14/10/10,Curtin IDC,On 14th October at approximately 1100hrs all IT systems went down until approximately 0730hrs 15th October.,Curtin IDC,
1-4S5YUI,Contraband found,Minor,14/10/10,North West Point Immigration Facility,Client s. 47F(1) received negative IMR a targeted search was conducted of his room.,"BluePoint2 Room 7 ""C' Block North West",
1-4S2OTC , Self Harm - Actual,Critical,14/10/10,North West Point Immigration Facility,Clients. 47F(1) self harmed by hanging.,"Lilac compound, D Block",
1-4S2OFB,Self Harm - Threatened,Major,14/10/10,North West Point Immigration Facility,Client s. 47F(1) threatened self harm,"Blue 1 compound, Block D",
1-4S2OC4,Self Harm - Threatened,Major,13/10/10,North West Point Immigration Facility,At approx 2350 on Wednesday 13/10/10 client s. 47F(1) approached me on return from the green hut. Client advised me that he got a 2nd negative and that he had contacted his family overseas and bid his family his final fair well.,Lilac compound report done by Abdur Ali,
1-4RZ53H,Transfer to APOD,Minor,13/10/10,Villawood IDC,Client s. 47F(1) and client s. 47F(1) were transfered to RYDGES Hotel as requested by Diac officer Jaswinder SINGH,SKSA to RYDGES Hotel,
1-4RZ5FR,Voluntary starvation (<24 hrs),Minor,13/10/10,Villawood IDC,On the 13.10.10 at approximately 1930 Hrs client s. 47F(1) stated he was on VHS. Operations Manager Chris Jackson,Reception VIDC,
1-4RYDOH ,Assault - Minor,Major,13/10/10,Villawood IDC,OnJacksonthe 13.10.10 at 1815 hrs clients. 47F(1) was alledged to have assaulted 2x Serco staff. Operations Manager Chris,Banksia compound VIDC,
1-4RYDUD ,Theft,Minor,13/10/10,Villawood IDC,Operations Manager Chris Jackson,Banksia compound VIDC,
1-4RY0CL,Self Harm - Actual,Critical,13/10/10,Melbourne ITA  ,client has discovered  self harm,downstairs Main area MITA,
1-4RY0JG,Accident/Injury - Serious,Critical,13/10/10,Villawood IDC,Client s. 47F(1) TAKEN TO AUBURN HOSPITAL,Fowler,
1-4RY0GG ,Damage - Minor,Minor,13/10/10,Villawood IDC,bit of concrete falling from roof in Da05b,Fowler Da05b,
1-4RRXZH ,Disturbance - Minor,Minor,13/10/10,North West Point Immigration Facility,2 clients involved in a minor disturbance in green 1 compound,"Block D, Green 1 compound",
1-4RTEL3,Self Harm - Actual,Critical,13/10/10,Port Augusta IRH,Confirmed self harm by  s. 47F(1) early hours 13/10/2010. More to follow,Port Augusta Immigration Residential Housing,
1-4RSBXP  ,Disturbance - Minor,Minor,13/10/10,Villawood IDC,"Fire alarm activated at approx 0732H at the Dorm 3 TV room. Officers found toasted bread burned on toaster. Fire brigade came came at approx 074H1, tog with Romeo-5 (M. Wood-Ryman), to de-activate alarm. No damage to facility.",pantry.,
1-4RQ82L,Self Harm - Actual,Critical,12/10/10,Port Augusta IRH,"s. 47F(1) cut his left forearm with an unknown object and inflicted superficail wounds between the wrist and  elbow. Triage notified, superficial and placed on constant watch. All relevent areas notiied.","Port Augusta Housing, house 2 (QLD)",
